first_event	event_time	difference	modulated

280.532000	280.532000	0.000000	0.000000
280.532000	560.408000	279.876000	1.513800  // fmod(279.876, 11.13) = 1.626
							  // fmod(279.876, 11.14) = 1.376
							  // meaning: this 1.513 is not an artifact of an inaccurate period
280.532000	638.348000	357.816000	1.512384
280.532000	725.896000	445.364000	-0.015520
280.532000	803.836000	523.304000	-0.016936
280.532000	826.120000	545.588000	-0.001912
280.532000	881.776000	601.244000	-0.018352
280.532000	904.048000	623.516000	-0.015328
280.532000	959.716000	679.184000	-0.019768
280.532000	972.380000	691.848000	1.509744
280.532000	981.988000	701.456000	-0.016744
280.532000	1028.052000	747.520000	1.509304
280.532000	1037.660000	757.128000	-0.017184
280.532000	1050.320000	769.788000	1.508328
280.532000	1059.928000	779.396000	-0.018160
280.532000	1105.992000	825.460000	1.507888
280.532000	1137.868000	857.336000	-0.019576
280.532000	1160.140000	879.608000	-0.016552
280.532000	1183.932000	903.400000	1.506472
280.532000	1193.556000	913.024000	-0.004016
280.532000	1215.808000	935.276000	-0.020992
280.532000	1238.080000	957.548000	-0.017968
280.532000	1271.496000	990.964000	-0.005432
280.532000	1273.012000	992.480000	1.510568
280.532000	1293.752000	1013.220000	-0.018408
280.532000	1316.020000	1035.488000	-0.019384
280.532000	1362.084000	1081.552000	1.506664
280.532000	1371.692000	1091.160000	-0.019824
280.532000	1393.960000	1113.428000	-0.020800
280.532000	1427.380000	1146.848000	-0.004264
280.532000	1440.024000	1159.492000	1.505248
280.532000	1449.632000	1169.100000	-0.021240
280.532000	1471.900000	1191.368000	-0.022216
280.532000	1495.696000	1215.164000	1.504808
280.532000	1527.576000	1247.044000	-0.018656
280.532000	1549.844000	1269.312000	-0.019632
280.532000	1605.516000	1324.984000	-0.020072
280.532000	1627.784000	1347.252000	-0.021048
280.532000	1705.724000	1425.192000	-0.022464
280.532000	2095.432000	1814.900000	-0.021544
280.532000	2273.580000	1993.048000	-0.025352
280.532000	2507.404000	2226.872000	-0.025600
280.532000	2585.344000	2304.812000	-0.027016
280.532000	2620.276000	2339.744000	1.501520
280.532000	2698.216000	2417.684000	1.500104
280.532000	2741.228000	2460.696000	-0.025848
280.532000	2819.168000	2538.636000	-0.027264
280.532000	2820.696000	2540.164000	1.500736
280.532000	2876.368000	2595.836000	1.500296
280.532000	2932.040000	2651.508000	1.499856
280.532000	3132.460000	2851.928000	1.499072
66828.604000	66828.604000	0.000000	0.000000
66828.604000	66906.544000	77.940000	-0.001416
66828.604000	66962.216000	133.612000	-0.001856
